urun_adi,csv_kategori,siklik,alt_tipler
FILIZ ARPA SEHRIYE 500 GR,GIDA,399,
ARBELLA BURGU MAKARNA 500GR,GIDA,398,
PINAR SUT 200ML,SÜT KAHVALTILIK,396,
CEREZZA POPCORN PATLAMIS MISIR 50GR,GIDA,396,bufe
BURDAN 10 LU PREMIUM YUMURTA BUYUK BOY 2012,SÜT KAHVALTILIK,394,
TADELLE SUTLU CIKOLATA 30GR,GIDA,393,sekerci
ULKER CIZI KRAKER MINI 140GR,GIDA,393,bufe
DR.OETKER KREM SANTI POSET TOZ 75,GIDA,391,
FALIM SAKIZ 5LI ORMAN MEYVELI,GIDA,390,sekerci
PINAR MADRAN SU 500ML,İÇECEK,390,
ETI FORM LIGHT 67 GR.MISIR VE PRINÇ PATLAGI,GIDA,390,
KINDER CIKOLATA 4LI 50GR,GIDA,390,sekerci
FILIZ MAKARNA SPAGHETTI 500 GR,GIDA,388,
ATOM KIVIRCIK,MEYVE SEBZE,387,manav
ETI BALIK KRAKER 35 GR,GIDA,387,bufe
ETI PIZZA KRAKER EKO 160GR,GIDA,386,bufe
FIDANLAR TAZE KASAR 400 GR,SÜT KAHVALTILIK,385,
ULUDAG MADENSU FRUTTI LIMON 200ML 6'LI,İÇECEK,384,
SUTAS YOGURT 1KG KAYMAKLI YENI,SÜT KAHVALTILIK,384,
L M UZUN PAKET,SİGARA,383,
ULKER ALBENI 60 GR,GIDA,382,
KOY PEYNIRI,SÜT KAHVALTILIK,381,
ETI KAKAOLU BISKUVI 125 GR.,GIDA,381,
SUTAS AYRAN 2 LT,İÇECEK,380,bufe
YAHYAOGLU 30 LU SMALL,SÜT KAHVALTILIK,380,
CAYKUR TIRYAKI CAY 500 GR,İÇECEK,378,
ULKER KREMALI 340 GR 106-1,GIDA,375,
SEK YARIM YAGLI YOĞURT 2000 GR,SÜT KAHVALTILIK,373,
SUTAS YOGURT 650GR,SÜT KAHVALTILIK,373,
ETI NEGRO KAKAOLU 91 GR,GIDA,372,
SUTAS YOGURT 650GR KAYMAKSIZ,SÜT KAHVALTILIK,372,
TADIM AY CEKIRDEGI BOLTUZLU 50GR,GIDA,369,
ETI SUSAMLI CUBUK KRAKER 136 GR,GIDA,369,bufe
FILIZ MAKARNA BURGU 500 GR,GIDA,369,
AYTAC SUT 1 LT YARIM YAGLI,SÜT KAHVALTILIK,369,
ETI PUF KAKAOLU 18 GR.,GIDA,368,
ULKER CIZI 260GR,GIDA,367,
EKICI KASAR PEYNIRI 400 GR,SÜT KAHVALTILIK,367,
ULKER COCOSTAR HINDISTANCEVIZLI,GIDA,367,
NESTLE GOFRET CIKOLATALI 35GR.,GIDA,363,sekerci
BURDAN 15 LI YUMURTA ORTA BEYAZ 2012,SÜT KAHVALTILIK,362,
LUX KARISIK CEREZ,GIDA,361,kuruyemisci
BEYAZ LAHANA,MEYVE SEBZE,361,manav
HD ALTINYAPRAK MAVI KALIN,SİGARA,359,
ETI BALIK KRAKER EKO 160GR,GIDA,358,bufe
SEK AROMA SUT KAKAOLU 200ML,SÜT KAHVALTILIK,358,
NESTLE NESGUIK SUT 180ML KAKAOLU,SÜT KAHVALTILIK,358,
ULKER HANIMELLER FINDIKLI,GIDA,358,
ULUDAG LIMONATA 1 LITRE SEKERSIZ,İÇECEK,357,
ULKER COKOPRENS 10'LU,GIDA,357,
LUPPO SANDVIC KEK 8'LI SUTLU,GIDA,357,
ULKER HALLEY MINI GRANURLU,GIDA,356,
EMEK AYCICEK YAG 3 LT PET,GIDA,354,
CAYKUR FILIZ CAY 500 GR,İÇECEK,353,
TADELLE GOFRET 35GR,GIDA,352,sekerci
NESTLE GOFRET BITTER 35 GR,GIDA,352,sekerci
TENO 200 ADET PECETE,KAĞIT,351,
UNAL TAM YAGLI KLASIK EZINE,SÜT KAHVALTILIK,351,
ACTİVEX SIVI SABUN 650 ML HASSAS,KOZMETİK,351,
ULKER CIKOLATALI GOFRET 5LI,GIDA,351,sekerci
ULKER ALBENI ATISTIRMALIK 80GR,GIDA,350,
CAYKUR KAMELYA CAY 1KG,İÇECEK,349,
PINAR DOYUM KOKTEYL SOSIS 300 GR.,ET TAVUK,348,kasap
ETI BURCAK 3 LU 420 GR,GIDA,347,
ULKER 80GR BATON BITTER 262-,GIDA,345,
TEKEL 2001 KISA BOX,SİGARA,343,
ANKARA MAKARNA BONCUK 500GR,GIDA,341,
CAFE CROWN 3 U 1,İÇECEK,340,
ETI HOSBES LIMONLU 80 GR.,GIDA,339,
FILE PATATES,MEYVE SEBZE,338,manav
ULKER 70 GR KARE CIKOLATA KARAMELLI,GIDA,337,sekerci
"BURC DOGAL KAYNAK SU 0,5 L",İÇECEK,336,
VURALLAR LÜKS KARS ESKI KASAR,SÜT KAHVALTILIK,335,
DR.OETKER VANILYA 10LU,GIDA,335,
SUTAS YOGURT KAYMAKSIZ 1.5KG,SÜT KAHVALTILIK,334,
LUPPO SANDVIC KEK 8'LI KAKAOLU,GIDA,333,
SENPILIC KANAT SPECIAL,ET TAVUK,332,kasap
ETI CRAX BAHARATLI CUBUK 50GR,GIDA,332,
ETI BURCAK SUTLU KREMALI 100 G,GIDA,331,
FILIZ MAKARNA BONCUK 500 GR,GIDA,331,
ETI BROWNI KAKAO KEK 40GR,GIDA,331,
TEKEL 2000 KIRMIZI UZUN,SİGARA,330,
MISIR UNU,GIDA,328,
ETI TUTKU BISKUVI 120 GR KAKAO KREMALI,GIDA,326,
TADELLE FINDIK DOLGULU CIK.40 GR,GIDA,325,
SANA MUTLU AILE PK.250GR,SÜT KAHVALTILIK,325,
CAKMAK,EV,325,
BIZIM MUTFAK CORBA EZOGELIN 74GR,GIDA,323,
ANKARA TEL SEHRIYE 500GR,GIDA,323,
DR.OETKER KARBONAT 5 LI POSET,GIDA,323,
ETI PETITO SUTLU KREMA DOLGULU BEYAZ CIK,GIDA,322,
CAYKUR KAMELYA CAY 500GR,İÇECEK,321,
KURU UZUM,GIDA,321,kuruyemisci
ICIM SUT CIKOLATALI 200ML,SÜT KAHVALTILIK,320,sekerci
ULKER STIKS CIKOLATA ANTEP FISTIKLI 38 GR,GIDA,319,sekerci
ELMA LUX AMASYA,MEYVE SEBZE,319,manav
ULKER COKOMILK 5'LI,GIDA,319,
PASAKOY YOGURT 500GR,SÜT KAHVALTILIK,315,
