urun_adi,csv_kategori,siklik,alt_tipler
REXONA ROLL-ON 50 ML FOR MEN,KOZMETİK,3,
LIPTON Y.LABEL 2 AD ALANA CAM DEMLIK HEDIYE,İÇECEK,3,
ARKO TRAS JELI 200ML REGULAR,KOZMETİK,3,
ALTIN CEZVE GOLD COFFEE 100 GR KAVANOZ,İÇECEK,3,
COLGATE GARGARA PRO.HASSAS DİŞ 400 ML,KOZMETİK,3,
DORITOS POPS AILE BOYU 81 GR,GIDA,3,
MEHTAP SIYAH INCI SAHAN 16 CM,EV,3,
MILUPA 7 TAHILI 200 GR. GECE,BEBEK,3,
CILLIT BANG YAG COZUCU750ML,DETERJAN TEMİZLİK,3,
NESTLE COK ÇİKOLATA FINDIK 45 GR,GIDA,3,sekerci
NIVEA BABY PUDRA 100 GR,KOZMETİK,3,
SELIN SIVI SABUN 300ML YESIL LIMON,KOZMETİK,3,
ARGEM YAYIK SURAHI,EV,3,
ARIEL PROFESSIONAL SIVI 500ML. BEYAZLATMA ETKILI,DETERJAN TEMİZLİK,3,
CANBEBE AVANTAJ PK. MIDI 62 AD 4-9KG,BEBEK,3,
PASTAVILLA BAHCE SEBZELI MAKARNA SOSU300GR,GIDA,3,
CIF BALLERINA CAM BEZI,DETERJAN TEMİZLİK,3,
WEE PP GENIS AGIZLI BIBERON 250CC,BEBEK,3,
LISTERINE AGIZ GARGARASI 500 ML NANE,KOZMETİK,3,
SIGNAL ANTI TARTAR DIS MACUNU 100 ML.PRATIK TUP,KOZMETİK,3,
ARKO MEN DUS JELI 250ML DYNAMIC,KOZMETİK,3,
SUPER FRESH ALTIN BALIK KILCIKSIZ BALIK,GIDA,3,balikci
NIVEA DEO STICK 40ML FRESH WOMEN,KOZMETİK,3,
NIVEA DEO STICK 40 ML DRY COMFORT,KOZMETİK,3,
P.BAHCE 52955 6'LI BARDAK HARE,EV,3,
CIF PAWERCREAM MUTFAK YEDEK 750ML.,DETERJAN TEMİZLİK,3,
AKDEM DUT PEKMEZI 820GR,SÜT KAHVALTILIK,3,
ELITE NATUREL 200 ML VISNE,İÇECEK,3,
EYÜP SABRİ TUNCER 150 ML LIMON,KOZMETİK,3,
HOBBY FOR MEN DUS JELI 300ML COOL,KOZMETİK,3,
FUSION TRS JELI 200 ML ULTRA KORUMA,KOZMETİK,3,
BAGDAT ZEYTIN SOSU 50GR,GIDA,3,
BARREL WORKSHOP BARREL 3 LU BARDAK,EV,3,
CILLITBANG KIR SOKUCU 750+250 ML,DETERJAN TEMİZLİK,3,
ICIM M.SUYU 330ML PORTAKAL,İÇECEK,3,
NEUTROGENA BESLEYICI BAKIM KREMI 200ML,KOZMETİK,3,
NIVEA TRAS KOPUGU 200 ML ANTIBAKTARIYEL,KOZMETİK,3,
FINISH POWERBALL  68 LI TABLET CAMAŞI SUYU KATKILI,DETERJAN TEMİZLİK,3,
ELITE NATUREL 200 ML NAR SUYU,İÇECEK,3,
PROTEX BANYO SABUNU 4 LU CREAM,KOZMETİK,3,
YAREN COOKER CAM SURAHI CKR246,EV,3,
WEE MINI ALISTIRMA BARDAGI SET,BEBEK,3,
DOGADAN LIMON ZENCEFIL 250 ML,İÇECEK,3,
WEE BEBEK ODA TERMOMETRESI,BEBEK,3,
BIZIM MUTFAK KÖRİ BİB,GIDA,3,
WELLA PRO-SERIES SAMPUAN 500ML PARLAK,KOZMETİK,3,
GILLETTE WOMEN VENUS MAKINE,KOZMETİK,3,
BIZIM MUTFAK ICLI KOFTE HARCI 137 GR,GIDA,3,
KOMILI OLIVE DENİZ SUT BİBERİYE 5*75 GR,KOZMETİK,3,
EYÜP SABRİ TUNCER 150 ML TUTUN,KOZMETİK,3,
KOMILI SIZMA ZEYTINYAG 5 LT.TENEKE,GIDA,3,
CIF MUTFAK JEL 1500ML YAG COZUCU,DETERJAN TEMİZLİK,3,
PALMOLIVE DUS JELİ SENSUAL 250 ML,KOZMETİK,3,
IPANA 3 BOYUTLU BEYAZLIK LUXE 75 ML BEYAZLATICI,KOZMETİK,3,
IPANA 7 KOMPLE BAKIM DOGAL FERAHLIK FIRCA HED,KOZMETİK,3,
SELIN KOLONYA 400ML CAM SISE,KOZMETİK,3,
P.BAHCE 59044 YUVARLAK 2'LI BORCAM TEPSİ,EV,3,
ARIEL MATIK 6 KG DAĞ ESİNTİSİ,DETERJAN TEMİZLİK,3,
ORAL-B 3D WHITE D.F 1+1 BEDAVA,KOZMETİK,3,
SARAY CHOCO LIPS 35 GR,GIDA,3,
GURALLAR ARTCRAFT SURAHI,EV,3,
BORCAM 59009 KAPAKLI FIRIN TEPSISI,EV,3,
PALMOLIVE SAB.100G THERMAL SPD EXFOLIN,KOZMETİK,3,
BANAT KLOZET BLOGU 40GR MAVI SU,DETERJAN TEMİZLİK,3,
COLGATE OPTIK BEYAZ 250ML,KOZMETİK,3,
SOLO MİNİ PEÇETE 75Lİ,KAĞIT,3,
JAGLER SPORT ROLL-ON 50ML,KOZMETİK,3,
GURALLAR LIZA 6'LI FINCAN TAKIMI,EV,3,
NASCITA KIRPIK KIVIRMA MAK.CIFT YEDEKLI KUTULU,KOZMETİK,3,
PALMOLIVE DUS JELI 250 ML CIKOLATA TUTKUSU,KOZMETİK,3,
KNORR BULYON TAVUK SUYU 175 GR TOZ,GIDA,3,
VILEDA ELDIVEN VANILYA 8 ORTA,DETERJAN TEMİZLİK,3,
LIPTON GOLDEN CEYLON TEA 500 GR,İÇECEK,3,
COLGATE PLAX 500ML MULTI-PROTECTION,KOZMETİK,3,
"LOREAL SAC BOYASI 1,01 DERIN SAF SIYAH",KOZMETİK,3,
VILEDA CAM BEZI 3AL 2 ODE PAKET,DETERJAN TEMİZLİK,3,
DR.OETKER MOZAIK PASTA 262 GR,GIDA,3,
P.BAHCE HUNI SET,EV,3,
HOBBY FOR MEN TRAS KOLONYASI 250 ML FRESH,KOZMETİK,3,
CARMINA SENSATION DEO 150ML WOMEN,KOZMETİK,3,
BLADE FASTER DEO SPREY FOR MEN 150 ML,KOZMETİK,3,
PRIMA KURU VE HESAPLI 3-6 KG.58ADET,BEBEK,3,
SHE SWEET DEO 150 ML,KOZMETİK,3,
COOK BUZDOLABI POSETI 4 AL 3 ÖDE BUYUK,EV,3,
SESU AGDA BANDI YUZ,KOZMETİK,3,
NIVEA TRAS JELI 200 ML FORMEN,KOZMETİK,3,
DR.OETKER KURABIYE UNU 500 GR,GIDA,3,
TIRNAK ETI SIYIRICI,KOZMETİK,3,
BLENDAX SACKREMI 700ML SARI KANTRON,KOZMETİK,3,
SOLEN WİNERGY ÇİKOLATA ANTEP FISTIKLI 40GR,GIDA,3,sekerci
JOHNSON`S KULAK CUBUGU 100 LU,KOZMETİK,3,
SUPER FRESH HAMBURGER KOFTE,GIDA,3,
P.BAHCE 43183 BABYLON 1 KAPAKLI KAVANOZ,EV,3,
EQUAL ERKEK DEO SPREY 150ML,KOZMETİK,3,
NIVEA DEO 150ML STRESS PROTECT MEN,KOZMETİK,3,
A.CARTE D'ORPATISSERIE TEL KADAYIF,SÜT KAHVALTILIK,3,
SERA BUZDOLABI POSETI 50 ADET,EV,3,
DALIN KIDS SAC VUCUT SAMP.300ML ÇİLEK,BEBEK,3,
MAGNUM BADEM 4*360GR,SÜT KAHVALTILIK,3,
"LOREAL SAC BOYASI 1,07 DERIN BRONZ SIYAH",KOZMETİK,3,
HOBBY SAC SPREYI 250 ML EKSTRA HACIM,KOZMETİK,3,
GLADE AUTO SISTEM YEDEK,DETERJAN TEMİZLİK,3,
CALDION JEANS DEO BAYAN 150ML,KOZMETİK,3,
PRİMA AKTİF BEBEK EXTRA 6 ACTIF BEBEK 16+KG,BEBEK,3,
VERNEL 4LT SENSITIVE YUMUSATICI,DETERJAN TEMİZLİK,3,
P.BAHCE FOLYOLUK  3 LU AHSAP,EV,3,
WELLA PRO-SERIES SAMPUAN 500ML ONARICI,KOZMETİK,3,
BIOMEEN ŞAMPUAN 700ML HASSAS SAC DERISI,KOZMETİK,3,
DURACELL BUYUK 2PIL LR 20,EV,3,
PIKNIK 1479 CIRPICI ORTA,EV,3,
KOSLA SIVI KRISTAL BEYAZ 2LT+2LT,DETERJAN TEMİZLİK,3,
WELLA KOLESTON 3/0 MAXI,KOZMETİK,3,
GILLETTE MACH3 4BICAK+H&S400 ML.,KOZMETİK,3,
ALGIDA MAGNUM MINI 6'LI,SÜT KAHVALTILIK,3,
AXE SAMPUAN 300 ML APOLLO,KOZMETİK,3,
ARKO NEM 300 ML ZEYTINYAGLI KREM,KOZMETİK,3,
P. BAHCE 42341 SADE BARDAK 6'LI,EV,3,
SOLO MENDIL PAKET,KAĞIT,3,
KOSKA FIRINDA HELVA LIGHT 250GR,SÜT KAHVALTILIK,3,sekerci
TAMEK IMAM BAYILDI 1/2,GIDA,3,
PANTENE PRO-V 600 ML SAMP. NEM TERAPISI,KOZMETİK,3,
DOVE BODY SILK ORIGINAL KREM 75 ML,KOZMETİK,3,
DOVE ROLL-ON 50 ML ORİGİNAL,KOZMETİK,3,
PINAR DANA BURGER BUFE 36 LI,GIDA,3,
HUNCA  BITTIM SAMPUAN 700 ML,KOZMETİK,3,
HOBBY ENERJI JOLE 750 ML ISLAK SERT,KOZMETİK,3,
SHAZILI CAPPUCCİNO KUTU BARDAK HED ŞEKERSİZ 126GR,İÇECEK,3,
OLCA BIBER SALCASI 2 KG ACI,GIDA,3,
HEAD&SHOULDERS 180 GR.MENTOL FERAHLIGI,KOZMETİK,3,
PALMOLIVE DUS JELI 500 ML VANILYA ASKI,KOZMETİK,3,
PALMOLIVE MEN DUS JELI 250 ML.SPORT,KOZMETİK,3,
CHESTERFIELD BLUE LINE  SILIM,SİGARA,3,
LD WHITE II,SİGARA,3,
TAT RECEL KAYISI 380GR,SÜT KAHVALTILIK,3,
8*4 ROLLON DISCOVERY FORMEN 50ML,KOZMETİK,3,
PRIL GOLD + PRIL 3'LU GUC 750 GR LIMON,DETERJAN TEMİZLİK,3,
RENGA MINI BAHARATLIK-TUZLUK,EV,3,
DR.OETKER VITALIS MUSLI MEYVE 375GR,GIDA,3,
DURU NOHUT 1KG,GIDA,3,
8*4 ROLLON 50 ML MODERN CHARME,KOZMETİK,3,
AIR WICK FRESH MATIC MAVI OKYANUS YEDEK,DETERJAN TEMİZLİK,3,
IPANA KOMPLE BAKIM 50 ML,KOZMETİK,3,
EVCAY NANE&LIMON POSET 20,İÇECEK,3,
NIVEA KREM REPAIR CARE 50 ML,KOZMETİK,3,
APTAMIL SUTLU 5 TAHILLI PIRINC TAH.250 ML,BEBEK,3,
PIKNIK 2082 COP TORBASI KUCUK 40*50,EV,3,
VILEDA STYLE KOPAR KULLAN 2 'LI RULO,DETERJAN TEMİZLİK,3,
CHAMPION MUHABBET KUS YEMI MEYVELI,PET,3,
UMIT YAPRAK GALETA 200 GR.SUTLU,GIDA,3,
ELIDOR 200ML KURU SAMP. BOYALI SAÇLAR İÇİN _x000D_,KOZMETİK,3,
ELSEVE 200 ML SIVI SAC KREMI SPREY,KOZMETİK,3,
PENGUEN ACI BIBER SOSU 180 GR,GIDA,3,
EMEK ZEYTINYAGI RIVIERA 3LT TNK,GIDA,3,
H.SAKIR DUS JELI 500 ML SUT&BAL,KOZMETİK,3,
PALMOLIVE DUS JELI 250 ML CILEK RUYASI,KOZMETİK,3,
MEHTAP KAVURMA SACI,ET TAVUK,3,kasap
ARGEM 2'LI MUSLUK UCU,EV,3,
CARMINA BAYAN DEOD SPREY 150ML,KOZMETİK,3,
ULKER GOLF SIZIN ICIN KAKAO- VANILYA 750 ML,SÜT KAHVALTILIK,3,
A.MAGNUM DOUBLE CIKOLATA,SÜT KAHVALTILIK,3,sekerci
ELIDOR 200ML SAMP. KEPEĞE KARŞI 2Sİ 1 ARADA,KOZMETİK,3,
NESTLE NESGUIK 600GR+BARDAK,EV,3,
AIR WICK FRESH MATIC ERZURUM PALAN DOKEN,DETERJAN TEMİZLİK,3,
ELIDOR 200ML KURU SAMP. YAĞLI SAÇLAR İÇİN_x000D_,KOZMETİK,3,
DOGADAN BOGURTLEN CAYI 20 POSET,İÇECEK,3,
UNX TORTILLA LAVAS 480GR 8 ADET,GIDA,3,firin
PANTENE PRO-V 600 ML SAMP. O.BAKIM 2SI 1 ARADA,KOZMETİK,3,
KOTEX LIGHT DAYS PARFUMSUZ 40LI,KAĞIT,3,
PIKNIK 155 LUX MESRUBAT ACACAGI,EV,3,
PANTENE PRO-V 600ML S. BAK KREM TEMEL BAKIM,KOZMETİK,3,
SATEN TUY DOK KREM,KOZMETİK,3,
ULKER FLORES LİMON SODA 200 ML 6'LI,İÇECEK,3,bufe
VIENNETTA VANILYA CIKOLATA 585 ML,SÜT KAHVALTILIK,3,sekerci
BİBERES ACILI EZME SOS 200 GR,GIDA,3,
FAIRY PLATINUM BUL.MAKINESI 40'LI,DETERJAN TEMİZLİK,3,
SESU KARTUS SIR AĞDA ISITICILI SET,KOZMETİK,3,
MOLPED D.C.ULT LİGHT SW'Lİ NORMAL 100 AD,KAĞIT,3,
DETAN KARINCA ILACI 250 ML,DETERJAN TEMİZLİK,3,
SUPER FRESH LAHMACUN 4'LU,GIDA,3,
ANADOLU UZUN BAX SIGARA,SİGARA,3,
BEBAK ACI BADEM NEMLENDİRİCİ EL VE VÜCUT KREMİ 200,KOZMETİK,3,
COTANAK FINDIK YAGI 2 LT PET,GIDA,3,
WELLA SAC BOYASI 77.44 KOR ATES KIZILI,KOZMETİK,3,
EQUAL INTENSE ROLL ON WOMEN,KOZMETİK,3,
STELLA MAGIC COLOR 5 LI,DETERJAN TEMİZLİK,3,
NARIN CAMASIR KOLASI TOZ,DETERJAN TEMİZLİK,3,
SELPAK KUTU MENDIL MAXI 150 YAPRAK,KAĞIT,3,
ULKER FLORES ELMA SODA 200 ML,İÇECEK,3,bufe
ORKID ULTRA TRIO PLATINUM 16 AD,KAĞIT,3,
HEAD SHOULDERS SAC KREMI 400ML LIMON FERAHLIGI,KOZMETİK,3,
ULKER FLORES ÇİLEK SODA 200 ML,İÇECEK,3,bufe
PANTENE 600 ML SAMP. DOGAL SENTEZ 1+1,KOZMETİK,3,
AXE 250 ML AFRICA DUS JELI,KOZMETİK,3,
PANTENE PRO-V 600ML S. BAK KREM GUC VE PARLAK,KOZMETİK,3,
KOSLA TUL TOZ 1KG,DETERJAN TEMİZLİK,3,
S.BRITE MIKROFIBER TEMIZLIK BEZI 3 AL 2 ODE,DETERJAN TEMİZLİK,3,
AKDEM REZENE 100 GR,İÇECEK,3,
DALIN KIDS SAC VUCUT SAMP.300ML TROPIKAL,BEBEK,3,
WELLA KOLESTON SAC BOYASI 8.45 VAHSI KIZIL,KOZMETİK,3,
ALGIDA FESTIVAL KARAMEL VANILYA 1000 ML,SÜT KAHVALTILIK,3,sekerci
BERRAK MANTAR 180 GR,GIDA,3,
NIVEA DEO STICK 40ML DOUBLE EFFECT WOMEN,KOZMETİK,3,
LUX DUS JELİ 250ML SHİMMERİNG SEA,KOZMETİK,3,
YAREN LVN CAM KAPAKLI SAKLAMA KABI,EV,3,
WEE BIBERON EMZIGI 2 NUMARA,BEBEK,3,
ARTCRAFT CAN CEREZLIK 6'LI,EV,3,
P.BAHCE OVAL KASE,EV,3,
BARREL MOR DIP BOYA 3 LU BARDAK,EV,3,
P.BAHCE 95173 HABITAT SURAHI TAKIMI,EV,3,
BASIC BEYAZ KULPLU SURAHI,EV,3,
BABY STAR JUMBO 64 LU MAXIPLUS,BEBEK,3,
IPEK DUS JELI 650 ML FERAHLATICI PORTAKAL CICEGI,KOZMETİK,3,
ARTCRAFT CAY BARDAGI 6'LI DIP BOYALI,EV,3,
"WELLA KOLESTON BOYA 6,34 BAKIR KUMRAL",KOZMETİK,3,
BERRAK TURSU KARISIK 3 LT CAM,GIDA,3,
ARGEM BULASIK FIRCASI,EV,3,
AKDEM GİNKGO BİLOBA CAYI 20LI,İÇECEK,3,
KALBIM LIGHT TON BALIGI 160 GR*2,GIDA,3,balikci
WOOLITE KOYU RENKLER 3 LİTRE,DETERJAN TEMİZLİK,3,
CARTE DOR PINTS WAFFLE 450 ML,GIDA,3,
VEET TUY DOKUCU KREM TUP FRESH,KOZMETİK,3,
F BAKTAT KURU FASULYE PILAKI 400 GR,GIDA,3,
KOSKA NANE DRAJE 90 GR.,SÜT KAHVALTILIK,3,sekerci
A.CLASSIC CARTE D'OR CIKOLATA PARCALI BİTTER,SÜT KAHVALTILIK,3,sekerci
LIPTON GUNEY DOGU EFSANESI 20 LI,İÇECEK,3,
LIPTON  AKDENIZ YOLCULUGU  20 LI,İÇECEK,3,
ARTCRAFT CICEK DESENLI 6 LI SU BARDAGI,EV,3,
GOKCE TOZ ICECEK 350 GR KUSBURNU,İÇECEK,3,
BANAT OTO YIKAMA FIRCASI SAPLI,DETERJAN TEMİZLİK,3,
ALGIDA CORNETTO CLASSICO CILEK KAYMAK 120ML,SÜT KAHVALTILIK,3,
CIF BALLERINA DUZ SUNGER 2'LI,DETERJAN TEMİZLİK,3,
LIPTON SIYAH INCI 48 LI DEMLIK,İÇECEK,3,
BALKUPU HARMAN CAYI 500 GR,İÇECEK,3,
P.BAHCE YUVARLAK CANDY TEPSI,EV,3,
PIKNIK 1524 PIKNIK 3 GOZLU KOPUK TABAK,EV,3,
P.BAHCE TABAK AURORA,EV,3,
KALEMTRAS KAPAKLI LUKS,KOZMETİK,3,
TAMEK MEYVE SUYU 1 LT KUTU PORT.,İÇECEK,3,
ULKER ORANJ 330 ML PORTAKAL PARCACIKLI,İÇECEK,3,
COLGATE D.F. 1+1 DEEP CLEAN,KOZMETİK,3,
PINAR USKUMRU FILETO PILAKI 160GR,GIDA,3,balikci
ALGIDA CORNETTO IN LOVE VANILYA FRAMBUAZ  125 ML,SÜT KAHVALTILIK,3,
A.MAGNUM CLASSIC,SÜT KAHVALTILIK,3,
VERNEL 750 ML MAX RELAX YUMUSATICI,DETERJAN TEMİZLİK,3,
WELLA KOLESTON 5/37 MAXI ORTA KESTANE,KOZMETİK,3,
A.CORNETTO DISC ANTEP FISTIK-CIKOLATA,SÜT KAHVALTILIK,3,sekerci
ALGIDA BUZ PARMAK 63 ML,SÜT KAHVALTILIK,3,
ELIDOR 700ML SAMP. GUCLU VE PARLAK 2 IN 1,KOZMETİK,2,
BIODEEP ASETON 110 ML YESIL,KOZMETİK,2,
F SAFF CIRA 10'LU,EV,2,
PANTENE 700ML 2İN 1 SAMP TEMEL BAKIM 2012,KOZMETİK,2,
BAKTAT KOKTEYL YESIL ZEYTIN 200 GR,SÜT KAHVALTILIK,2,
PHILIPS12W=57 WTORNADO COOL DAYLIGHT,EV,2,
ELSEVE 700 ML INCE HACIMSIZ SONUK KALICI DOLGUNLUK,KOZMETİK,2,
TAT BEZELYE 500 GR. NO:3,GIDA,2,
PHILIPS AMPUL 25 WT,EV,2,
CIF OKSI JEL AKTİF LAVANTA3LT,DETERJAN TEMİZLİK,2,
SARAY CRASANTE SEBZELI KRAKER 60 GR,GIDA,2,bufe
TORKU CLASSIC BITTER CIKOLATA 70GR,GIDA,2,sekerci
KAR CIPSO KETCAP CIPSI 68GR TIRTIK,GIDA,2,
PENGUEN DOMATES SALCASI 4500 GR,GIDA,2,
ELSEVE 200 ML SIVI SAC BAKIM KREMI KOLAY TARAMA,KOZMETİK,2,
COLGATE D.M.COK YONLU KORUMA 110 GR,KOZMETİK,2,
LIFEBUOY SIVI SABUN 200 MLTOTAL LOKAL,KOZMETİK,2,
"ULKER GOLF ROYAL CIK.PAR.KAY.A. FISTIGI 1,33 LT",SÜT KAHVALTILIK,2,
ELITE NATUREL 200 ML KARADUT,İÇECEK,2,
EVY LADY 4 AL 3 ODE GECE 28 KANATLI,KAĞIT,2,
AIR WICK FRESH BUBBLE MAVI OKYANUS,DETERJAN TEMİZLİK,2,
P.BAHCE  KASE SERT KILIFLI,EV,2,
ARTCRAF SU BARDAGI DEKORLU 6'LI,EV,2,
"BANAT FASH, 246 SAÇ FIRÇASI",KOZMETİK,2,
SIGNAL D.F. BEYAZ GUC,KOZMETİK,2,
DERMASON KUCUK,GIDA,2,
AKBEL SOFRALIK ZEYTIN 200 GR,SÜT KAHVALTILIK,2,
DOVE INTENSE CREAM KREM 30 ML,KOZMETİK,2,
LOREAL SAC BOYASI 7,KOZMETİK,2,
BABY STAR IKIZ MINI,BEBEK,2,
ARIEL PROFESSIONAL BEYAZLATMA ETKILI 500ML TOZ,DETERJAN TEMİZLİK,2,
PHILIPS 15W=68 W TORNADO KALIN DUY BEYAZ,EV,2,
EVY LADY PED 10 NORMAL KANATLI,KAĞIT,2,
AXE DEO 150ML ANARCHY FOR HER,KOZMETİK,2,
8*4 150 ML DEO SOFT KISS,KOZMETİK,2,
BERGAMA SAC FIR.KLAS.TEL.OVAL BY-KUTULU,KOZMETİK,2,
LAVACHE QUIRIT300GR+100GR BEDAVA,SÜT KAHVALTILIK,2,
TAT ACI BIBER SOSU 270GR,GIDA,2,
GLADE AUTOMATIC SPREY YEDEK 175GR APPLE,DETERJAN TEMİZLİK,2,
HERO BABY 8 TAHILLI SUTLU PEYNIRLI PEKMEZLI 250 GR,BEBEK,2,
S.BRITE CIRTCIRTLI MIKROFİBER YER TEM SIS.,DETERJAN TEMİZLİK,2,
S.BRITE COKAMACLI ELDIVEN 7,DETERJAN TEMİZLİK,2,
AIR WICK RENK VEREN MUM 155ML KARAMEL,DETERJAN TEMİZLİK,2,
ARGEM METAL MASA,EV,2,
KENT 375 GR MISS BONBON KAHVELI SUTLU BONBON,GIDA,2,
HEAD SHOULDERS 400ML LIMON TAZELIGI,KOZMETİK,2,
ELSEVE ANINDA ONAR.BAKIM COLOR-VIVE 300ML,KOZMETİK,2,
H.SAKIR DUS JELI SUT HANIMELI 250ML,KOZMETİK,2,
"VERNEL 1,5 LT MAX JABON GULLU&ITIR CICEGI",DETERJAN TEMİZLİK,2,
VILEDA YESIL YER BEZI,DETERJAN TEMİZLİK,2,
LIPTON DEMLIK KUSBURNU POSET CAY,İÇECEK,2,
CALGONIT FIN. TUZ 4 KG,DETERJAN TEMİZLİK,2,
BLADE BOXER DEO SPREY FOR MEN 150 ML,KOZMETİK,2,
BLADE POWER DEO SPREY FOR MEN 150 ML,KOZMETİK,2,
DUNLOP DEODORANT 150ML YESIL,KOZMETİK,2,
ARIEL AKTIF JEL KAPSULLERI 1120 GR PARLAK RENKLER,DETERJAN TEMİZLİK,2,
AKDEM KANTARON 50 GR,İÇECEK,2,
F CVS OLIVIN CELIK GUVEC SETI 3'LU,EV,2,
WEE SILIKON AKIDE EMZIK NO:3,BEBEK,2,
DURU DUS JELI 250ML ENERGY UYAN ARTIK,KOZMETİK,2,
BANAT D.F. NİCO TEA,KOZMETİK,2,
"RENGA ARTI GRAVURLU SURAHI 1,5 LT",EV,2,
MONSETTE DESENLI DIZ ALTI INCE CORAP,EV,2,
PALMOLIVE DUS JELI 500 ML. HAPPYFUL,KOZMETİK,2,
ARGEM KATLI SUZGEC,EV,2,
PRENSES KRISTAL TOZ SEKER KAHVERENGI 500 GR STICK,İÇECEK,2,
GLADE MICRO SPRAY YEDEK MARINE,DETERJAN TEMİZLİK,2,
ORAL-B D.F.CROSS SOFT (35),KOZMETİK,2,
F SAFF 12'LI KAGIT HAVLU,KAĞIT,2,
AXE WAX JOLE 75ML SEKILLENDIRICI,KOZMETİK,2,
W.FLEX EKSTRA GUCLU KOPUK 200 ML,KOZMETİK,2,
PALMOLIVE DUS JELI 250 ML VANILYA ASKI,KOZMETİK,2,
NIVEA DUS JELI 250 ML POWERFRUIT REFRESH,KOZMETİK,2,
GEZER TERLIK 2567 SIYAH WAVE,EV,2,
TORKU SERASER SUTLU BITTER CIK. 200 GR,GIDA,2,
NIVEA VISAGE Q-10 KIRIŞIK KARŞITI 50 ML.,KOZMETİK,2,
GOODY YAVRU KEDI MAMASI,PET,2,
DOGADAN GELENEKSEL KARADENIZ CAYI 1 KG,İÇECEK,2,
VILEDA MIKROFIBER BANYO BEZI,DETERJAN TEMİZLİK,2,
PALMOLIVE DUS JELI 250 MLSHEA BUTTER NATR.,KOZMETİK,2,
PHILIPS 11 W=50 W 590 LM GENIE COOL DAYLIGHT,EV,2,
BIOBLAS SAÇ DÖK.KARŞI ŞAMP NORMAL 400 ML,KOZMETİK,2,
NIVEA ROLL-ON GUCLU KORUMA MEN,KOZMETİK,2,
FAIRY PLATINUM 20 LI,DETERJAN TEMİZLİK,2,
KARTAL MAKARNA FIRIN 500GR,GIDA,2,
NIVEA DEO 100ML SPREY ANGEL STAR HOT CRUSH,KOZMETİK,2,
SOLO WC SIKISTIILMIS 40 RULO,KAĞIT,2,
LIPTON ENGLISH BR.TEA 100AD.BARDAK,İÇECEK,2,
MEHTAP KEK KALIBI BUYUK DILIMLI,EV,2,
GLADE SENSATIONS REFIL YEDEK,DETERJAN TEMİZLİK,2,
WELLA SAC BOYASI 5/1 ACIK KULLU KAHVE,KOZMETİK,2,
8*4 150 ML DEO FORMEN PLAY THE GAMR,KOZMETİK,2,
MOLPED D.C.ULT LİGHT GÜNLÜK BAKIM PEDİ NORMAL 40,KAĞIT,2,
NESTLE NESFIT SADE 750 GR,SÜT KAHVALTILIK,2,
PRIMA KURU VE HESAPLI 3-6 KG.60ADET,BEBEK,2,
"MARC AHSAP TEMIZLIYICI 2,5 LT",DETERJAN TEMİZLİK,2,
BAGDAT ANTEP FISTIGI 30 GR,GIDA,2,
OKEY EXTRA 10 LU,KOZMETİK,2,
TAMEK BIBER SALCASI 720ML ACI CAM,GIDA,2,
S.BRITE KULLAN AT ELDIVEN 8,DETERJAN TEMİZLİK,2,
S.BRITE COK AMACLI ELDIVEN 8,DETERJAN TEMİZLİK,2,
PIKNIK 106-P FANTAZI MUM,EV,2,
NIVEA MILK 250 ML BES.VUCUT SUTU COK KURU CILT,KOZMETİK,2,
VEET TUY DOKUCU KREM TUP SENSIVE PLUS,KOZMETİK,2,
ETI FORM  LIMON LIFLI 200 GR 8.LI PAKET,GIDA,2,
SLAZENGER DEO 150ML ACTIVESPORT,KOZMETİK,2,
BERRAK TURSU SALATALIK 2650 ML,GIDA,2,
PENGUEN TURSU KARISIK 1650GR,GIDA,2,
WELLA KOLESTON KOPUK BOYA 3/0 KOYU KAHVE,KOZMETİK,2,
TAMEK MAYONEZ CAM 500GR,GIDA,2,
PALMOLIVE SIVI SABUN YAG GIDERICI 750ML+350 ML,KOZMETİK,2,
REXONA STICK COTTON 50 GR,KOZMETİK,2,
CIF KREM DOGAL SERI 1500 ML,DETERJAN TEMİZLİK,2,
"ALO TOZ DETERJAN 2,5 KG. POSETKAR CICEGI",DETERJAN TEMİZLİK,2,
TAMEK KONSR LAHANA SARMA 425 GR,GIDA,2,
BANAT AYAKKABI FIRCASI,DETERJAN TEMİZLİK,2,
YAREN SIGMA KAHVE YANI 6 LI,EV,2,
F GOLDEN KAPI ONU PASPAS,EV,2,
PASABAHCE BORCAM OVAL,EV,2,
PALMOLIVE SIVI SABUN 300 ML.MILK&HONEY,KOZMETİK,2,
CARTEDOR VIENNETTA ANTEP FISTIK - VANİLYA,SÜT KAHVALTILIK,2,
NESTLE MADLEN CIK.282 GR,GIDA,2,
DOVE SAC KREMI 400ML RENK KORUYUCU,KOZMETİK,2,
ELSEVE 360ML.SAC KREMI DOKULME KARSITI,KOZMETİK,2,
NIVEA SAC YUZ VE VUCUT JELI,KOZMETİK,2,
SYOSS SAC KREMI 750 ML YOGUN HACIM,KOZMETİK,2,
ELSEVE 360ML.SAC KREMI YIPRANMIS KIRILAN SACLAR,KOZMETİK,2,
SARIMSAK FILE,MEYVE SEBZE,2,manav
PANTENE 400ML SAC KREMI IPEKSI YUMUSAKLIK,KOZMETİK,2,
