is_kolu,isim,osm_id
restoran,Tarihi Cerrahpaşa Köftecisi Mesut Usta,5099065498
restoran,Müslüm Usta Has Urfa 63,5099065503
restoran,Extra pilav,5099065506
restoran,Hatay İkizler Tatlıcısı,5099065509
restoran,Özgül Börek Salonu,5099065511
restoran,Kırımlı Çıbörek Bın Yıllık Lezzet,5100823680
restoran,Küçük Ev,5100823682
restoran,Büfe Vittamin,5100823685
restoran,ETNA EV YEMEKLERI,5100823688
restoran,Turkuaz Ev Yemekleri,5100823689
restoran,ASRIN PASTANESi,5100823691
restoran,Efsane Çiğköfte,5100823705
restoran,Ustam Dürüm,5100823714
restoran,Ferda Börek Salonu,5100823716
restoran,Çağrı köfte ve döner,5100825059
restoran,Kul Sofrası,5100825062
restoran,Yılmaz Lokantası,5100825074
restoran,Meydan Lokantası,5100825077
restoran,Gaziantep Ocakbaşı Topkapı,5100825078
restoran,Hanka,5103810762
restoran,Damak lokantası,5103810772
restoran,Konak Lokantası,5103810774
restoran,Canip Ustanın Yeri,5103810780
restoran,Lokanta 53,5103810781
restoran,Kebapçı Murat,5103810784
restoran,Bereket Döner Topkapı Kaleiçi,5103810785
restoran,Tarihi ULUSOY PASTA BÖREKÇİSİ,5103810786
restoran,HATAY OCAKBAŞI RESTAURANT,5103810806
restoran,İkinci Adres Restoran Pub,5103810816
restoran,Beyrut Restaurant,5106122306
restoran,Köşem Döner,5106123752
restoran,Dodo,5106123768
restoran,Ağa Türk Mutfağı,5106123770
restoran,Meydan restaurant,5106123775
restoran,Gül Evi Restaurant,5106123803
restoran,Tabia Restaurant,5106123806
restoran,Köroğlu Et Lokantası,5106123811
restoran,Akşemsettin Balık Lokantası,5106123814
restoran,Tarihi Özkan Köftecisi,5106123815
restoran,Buuzecedi,5106123818
restoran,Hadramot Yemeni Restaurant,5106123820
restoran,Happy Chicken,5106124123
restoran,Mazaj Restaurant,5106124134
restoran,Alibaba Döner,5106127794
restoran,Şanlar Pastneleri,5106127801
restoran,Tadım Köfte Döner,5106127807
restoran,Sultan Kokoreç,5106127814
restoran,Yuvam Restaurant,5106127817
restoran,Rumeli Dondurma,5106129531
restoran,Hacıelaziz çiğköfte,5106131048
restoran,Diver Döner,5106132737
restoran,Alşacara Döner,5106132740
restoran,Zurna Dürüm,5106132749
restoran,2 Lokma,5106132752
restoran,Haylazbey Döner,5106132764
restoran,Minmix,5106132769
restoran,Altınkapı Restaurant,5106132774
restoran,Alam Tani Tavuk,5106134538
restoran,Tad Et & İzgara,5106135539
restoran,Check'up,5106135558
restoran,Titiz Döner,5106135559
restoran,Palukçu Restaurant,5106135562
restoran,Kilis Sofrası,5107243172
restoran,Doğan Kardeşler Börek Salonu,5107243193
restoran,Ali Usta,5107245367
restoran,Antekye Döner,5107245379
restoran,Çeşni Yöresel Gıdalar,5107245382
restoran,Şölen Pastaneleri,5107245384
restoran,Tatlises Çig Kofte,5107245389
restoran,Biffet Bistro,5107245392
restoran,Silivri Kapı Balıkçısı,5107245394
restoran,Gaziantep Kilis Kebap ve Lahmacun,5107245412
restoran,Paşa Pilavcısı,5107247538
restoran,Senl,5107247563
restoran,Kırık Çatal,5107247565
restoran,Meşhur Pilavcı Celal Usta,5107247575
restoran,Develi Pidecisi,5107247583
restoran,Pilavcı Celal Usta,5107247587
restoran,Star Ocakbaşı ve Pub,5107305823
restoran,Mis Köfte,5107305827
restoran,Çığır lahmacun,5107305830
restoran,Huzur Uygur Mufatğı,5107305840
restoran,Kebabçım,5107305843
restoran,Büyük Günaydın Kelle Paça Salonu,5107305848
restoran,Sams arap yemekleri,5107305870
restoran,Divan Antep,5107305887
restoran,Ana yurt lokantası,5107305890
restoran,Gaziantepli,5107305896
restoran,Üçler Urfa Kebab Salonu,5109654671
restoran,PizzaAra,5109654679
restoran,Kardeşler Yemek,5109654680
restoran,Çapa Dürüm Kebab,5109654681
restoran,Frango,5109654684
restoran,Konyalı Gurme,5109654688
restoran,Ehlihan Restaurant,5109654689
restoran,Cesme cihan,5111214085
restoran,Damak kebap,5111214088
restoran,Ahtim,5111214093
restoran,Kardes bufe,5111214096
restoran,Point manti,5111214104
restoran,Pedeci,5111214108
restoran,Ikizler pilavci,5111215128
restoran,Is doner,5111215129
restoran,Catkapi ev yemek,5111215130
restoran,Gaziantepli Usta,5111215131
restoran,Ziyada ev yemek,5111215132
restoran,Tanton usta,5111215139
restoran,Unkapanı Pilavcı,5111215147
restoran,Örnek Börek,5111215149
restoran,İkizler Pilavcı,5111215151
restoran,Kosek and cafe,5111215155
restoran,Jalal,5111215179
restoran,Pilavcı Yegit,5111215188
restoran,Fırat Kepab,5111215200
restoran,Tarihi dagkapi,5111215210
restoran,Hacioglarri,5111215215
restoran,Buylu Mutfak,5111215216
restoran,Fonyali,5111215218
restoran,Kral,5111215727
restoran,Pasem kepeb,5111215733
restoran,Pasa doner,5111215743
restoran,Ozgulu,5111215746
restoran,Can borek,5111215759
